code,item_url,full_name,name
wepowernetwork,https://www.feixiaohao.com/currencies/wepowernetwork/,WePower Network,WPR
amber,https://www.feixiaohao.com/currencies/amber/,琥珀币,AMB
viberate,https://www.feixiaohao.com/currencies/viberate/,Viberate,VIB
oax,https://www.feixiaohao.com/currencies/oax/,OAX,OAX
medishares,https://www.feixiaohao.com/currencies/medishares/,MediShares,MDS
sonm,https://www.feixiaohao.com/currencies/sonm/,SONM,SNM
xaurum,https://www.feixiaohao.com/currencies/xaurum/,Xaurum,XAUR
sentinel,https://www.feixiaohao.com/currencies/sentinel/,Sentinel,SENT
bitcny,https://www.feixiaohao.com/currencies/bitcny/,比特元,BITCNY
blackcoin,https://www.feixiaohao.com/currencies/blackcoin/,黑币,BLK
propy,https://www.feixiaohao.com/currencies/propy/,Propy,PRO
linda,https://www.feixiaohao.com/currencies/linda/,Metrix Coin,MRX
bqt,https://www.feixiaohao.com/currencies/bqt/,BQT,BQT
deepbrain-chain,https://www.feixiaohao.com/currencies/deepbrain-chain/,深脑链,DBC
oneroot,https://www.feixiaohao.com/currencies/oneroot/,OneRoot,RNT
bitcoin-atom,https://www.feixiaohao.com/currencies/bitcoin-atom/,Bitcoin Atom,BCA
incent,https://www.feixiaohao.com/currencies/incent/,Incent,INCNT
naga,https://www.feixiaohao.com/currencies/naga/,NAGA,NGC
remme,https://www.feixiaohao.com/currencies/remme/,Remme,REM
stealthcoin,https://www.feixiaohao.com/currencies/stealthcoin/,Stealthcoin,XST
odyssey,https://www.feixiaohao.com/currencies/odyssey/,Odyssey,OCN
apex,https://www.feixiaohao.com/currencies/apex/,Apex,CPX
monetha,https://www.feixiaohao.com/currencies/monetha/,Monetha,MTH
litecoin-cash,https://www.feixiaohao.com/currencies/litecoin-cash/,莱特币现金,LCC
spectrecoin,https://www.feixiaohao.com/currencies/spectrecoin/,幽灵币,XSPEC
lympo,https://www.feixiaohao.com/currencies/lympo/,Lympo,LYM
feathercoin,https://www.feixiaohao.com/currencies/feathercoin/,羽毛币,FTC
cargox,https://www.feixiaohao.com/currencies/cargox/,CargoX,CXO
topc,https://www.feixiaohao.com/currencies/topc/,拓扑链,TOPC
ipcchain,https://www.feixiaohao.com/currencies/ipcchain/,知产链,IPC
dentacoin,https://www.feixiaohao.com/currencies/dentacoin/,Dentacoin,DCN
hyperpay,https://www.feixiaohao.com/currencies/hyperpay/,Hyperpay,HPY
blockmason,https://www.feixiaohao.com/currencies/blockmason/,BCPT,BCPT
deeponion,https://www.feixiaohao.com/currencies/deeponion/,深洋葱,ONION
babb,https://www.feixiaohao.com/currencies/babb/,BABB,BAX
banca,https://www.feixiaohao.com/currencies/banca/,Banca,BANCA
chronobank,https://www.feixiaohao.com/currencies/chronobank/,Chronobank,TIME
peerplays-ppy,https://www.feixiaohao.com/currencies/peerplays-ppy/,Peerplays,PPY
carvertical,https://www.feixiaohao.com/currencies/carvertical/,carVertical,CV
aventus,https://www.feixiaohao.com/currencies/aventus/,Aventus,AVT
bottos,https://www.feixiaohao.com/currencies/bottos/,铂链,BTO
primas,https://www.feixiaohao.com/currencies/primas/,Primas,PST
swarm-fund,https://www.feixiaohao.com/currencies/swarm-fund/,Swarm,SWM
exrnchain,https://www.feixiaohao.com/currencies/exrnchain/,EXRNchain,EXRN
primecoin,https://www.feixiaohao.com/currencies/primecoin/,质数币,XPM
chatcoin,https://www.feixiaohao.com/currencies/chatcoin/,ChatCoin,CHAT
dynamic,https://www.feixiaohao.com/currencies/dynamic/,Dynamic,DYN
